,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,favoriteCount,commentCount
0,h7MYJghRWt0,VALORANT,2021-11-22T16:00:18Z,UC8CX0LD98EDXl4UYX1MDCXg,Die For You ft. Grabbitz // Official Music Video // VALORANT Champions 2021,VALORANT Champions - December 1 - 12. For matches and schedules visit https://valorantesports.com LISTEN NOW: ...,54858658,940103,0,24553
1,DqgK4llE1cw,VALORANT,2022-08-22T13:00:13Z,UC8CX0LD98EDXl4UYX1MDCXg,Fire Again ft. Ashnikko // Official Music Video // VALORANT Champions 2022,The worlds of agents and pros collide in a race for the Champions trophy. Check out the official anthem and music video for ...,9284806,301524,0,9199
2,OyLHi34Qzv4,VALORANT,2022-01-10T16:00:18Z,UC8CX0LD98EDXl4UYX1MDCXg,WARM UP // Episode 4 Cinematic - VALORANT,Downtime works a little differently when you're at VALORANT HQ. Take a peek inside the training room and join us as we warm ...,7655296,355701,0,18980
3,xU2U73Tk-DM,VALORANT,2022-02-23T17:00:27Z,UC8CX0LD98EDXl4UYX1MDCXg,Can’t Slow Me Down // Jett Hype Music Video - VALORANT,"Can anyone slow her down? Jett's storming Seoul in this video crafted by VALORANT Korea. Music features trending artists lIlBOI, ...",7650774,204898,0,4344
4,PlpqhZiumDM,VALORANT,2022-06-20T14:54:25Z,UC8CX0LD98EDXl4UYX1MDCXg,SHATTERED // Episode 5: DIMENSION Cinematic - VALORANT,The good guys have arrived. Take your first steps into Omega Earth during Episode 5: DIMENSION.  ECreated in partnership with ...,5211940,279405,0,11304
5,6YESOZ_tGWo,iiTzTimmy,2021-11-30T22:00:02Z,UC5v2QgY2D5tlu8uws23MG4Q,VALORANT FOR 65 HOURS: The Film | Solo Iron-Radiant in One Stream Challenge,LIKE and SUBSCRIBE if you enjoyed! This special video shows my 65-hour solo queue challenge from the lowest rank in ...,5116845,131901,0,3695
6,BqTxM7g0guE,MILYHYA,2022-07-31T13:07:08Z,UC0ohl1eKTtlJNqbD-HWRQVg,"Valorant Indonesia - Clutch Terbodoh, 4 vs 1, Lagi Garuk",Back to Valorant setelah sekian lama. Enjoy! Editing Software : Adobe Premiere CC Instagram : @camancailyas Facebook ...,4188997,208949,0,8015
7,qRao6FARFRo,VALORANT,2022-10-12T02:53:14Z,UC8CX0LD98EDXl4UYX1MDCXg,TURN THE TIDES - Harbor Agent Trailer // VALORANT,"Welcome to the team, Harbor. Hailing from the coast of India, this new Controller Agent commands a mix of tide and torrent to ...",3889289,213080,0,9752
8,L36C5IoA0KA,VALORANT // Brasil,2022-02-21T16:00:11Z,UCgWiuB2PQIUhJgEN9No281g,VALORANT | Raze - O que for bom!,"Ao som de “Banho de Folhas E de Luedji Luna e VALORANT, dê play e bora curtir com a Raze esse lindo passeio pelo coração ...",3119378,98035,0,2901
9,XGXs3oZIeaI,RobleisIUTU,2020-11-08T00:24:40Z,UCG8eSYvOQUpb9HM8zU5d6xg,JUEGO A VALORANT POR PRIMERA VEZ CON THIAGO | Robleis,Juega Valorant GRATIS AQUÁE: http://bit.ly/RobleisValorant Sillas Secret Lab x League of Legends: http://bit.ly/SillaRobleis ▻ Mis ...,2944487,201935,0,8704
10,XGXs3oZIeaI,RobleisIUTU,2020-11-08T00:24:40Z,UCG8eSYvOQUpb9HM8zU5d6xg,JUEGO A VALORANT POR PRIMERA VEZ CON THIAGO | Robleis,Juega Valorant GRATIS AQUÁE: http://bit.ly/RobleisValorant Sillas Secret Lab x League of Legends: http://bit.ly/SillaRobleis ▻ Mis ...,2944487,201935,0,8704
11,O4S6I6qPhBs,Auron,2022-03-22T19:23:43Z,UCFR2oaNj02WnXkOgLH0iqOA,TORNEO DE VALORANT 😳😳,https://www.twitch.tv/auronplay/videos.,2523217,124135,0,1328
12,4xf30rqbhZ4,Wankil Studio - Laink et Terracid,2020-04-08T12:00:01Z,UCYGjxo5ifuhnmvhPvCc3DJQ,"VOUS N&#39;EN CROIREZ PAS VOS YEUX, ET POURTANT... (Valorant)",C'est bel et bien les deux plus grands joueurs FPS de la décennie qui vont vous montrer leur skill en exclusivité sur Valorant ...,2306515,83990,0,2102
13,Wrdh5HrOCMc,Throneful,2020-06-25T18:00:10Z,UCIw5rbXUrtk31t20Ap5817w,VALORANT Gameplay (PC HD) [1080p60FPS],"VALORANT Gameplay (PC HD) [1080p60FPS]. PC Specs: CPU: Intel Kaby Lake, Core i7 7700K 4.20GHz Motherboard: MSI Z270 ...",2257027,23602,0,1193
